;Subblock;S;M;T;C;Z;X[micron];Y[micron];Z[micron];Time[s];xstart;ystart;width;height
0;0;0;0;0;0;0;16977.153;18621.489;1113.21;0.0;0;0;256;256
1;1;0;0;0;0;1;16977.153;18621.489;1113.53;0.904;0;0;256;256
2;2;0;0;0;0;2;16977.153;18621.489;1113.85;1.792;0;0;256;256
3;3;0;0;0;0;3;16977.153;18621.489;1114.17;2.686;0;0;256;256
4;4;0;0;0;0;4;16977.153;18621.489;1114.49;3.574;0;0;256;256
5;5;0;0;0;0;5;16977.153;18621.489;1114.81;4.466;0;0;256;256
6;6;0;0;0;0;6;16977.153;18621.489;1115.13;5.386;0;0;256;256
7;7;0;0;0;0;7;16977.153;18621.489;1115.45;6.291;0;0;256;256
8;8;0;0;0;0;8;16977.153;18621.489;1115.77;7.188;0;0;256;256
9;9;0;0;0;0;9;16977.153;18621.489;1116.09;8.084;0;0;256;256
10;10;0;0;0;0;10;16977.153;18621.489;1116.41;9.006;0;0;256;256
11;11;0;0;0;0;11;16977.153;18621.489;1116.729;9.899;0;0;256;256
12;12;0;0;0;0;12;16977.153;18621.489;1117.05;10.799;0;0;256;256
13;13;0;0;0;0;13;16977.153;18621.489;1117.37;11.688;0;0;256;256
14;14;0;0;0;0;14;16977.153;18621.489;1117.69;12.62;0;0;256;256
