;Subblock;S;M;T;C;Z;X[micron];Y[micron];Z[micron];Time[s];xstart;ystart;width;height
0;0;0;0;0;0;0;16977.153;18621.489;1114.49;0.0;0;0;240;170
1;1;0;0;0;0;1;16977.153;18621.489;1114.81;0.894;0;0;240;170
2;2;0;0;0;0;2;16977.153;18621.489;1115.13;1.792;0;0;240;170
3;3;0;0;0;0;3;16977.153;18621.489;1115.45;2.681;0;0;240;170
4;4;0;0;0;0;4;16977.153;18621.489;1115.77;3.586;0;0;240;170
5;5;0;0;0;1;0;16977.153;18621.489;1114.49;0.328;0;0;240;170
6;6;0;0;0;1;1;16977.153;18621.489;1114.81;1.22;0;0;240;170
7;7;0;0;0;1;2;16977.153;18621.489;1115.13;2.117;0;0;240;170
8;8;0;0;0;1;3;16977.153;18621.489;1115.45;3.007;0;0;240;170
9;9;0;0;0;1;4;16977.153;18621.489;1115.77;3.941;0;0;240;170
10;10;0;0;1;0;0;16977.153;18621.489;1114.49;60.025;0;0;240;170
11;11;0;0;1;0;1;16977.153;18621.489;1114.81;60.916;0;0;240;170
12;12;0;0;1;0;2;16977.153;18621.489;1115.13;61.81;0;0;240;170
13;13;0;0;1;0;3;16977.153;18621.489;1115.45;62.698;0;0;240;170
14;14;0;0;1;0;4;16977.153;18621.489;1115.77;63.587;0;0;240;170
15;15;0;0;1;1;0;16977.153;18621.489;1114.49;60.348;0;0;240;170
16;16;0;0;1;1;1;16977.153;18621.489;1114.81;61.241;0;0;240;170
17;17;0;0;1;1;2;16977.153;18621.489;1115.13;62.134;0;0;240;170
18;18;0;0;1;1;3;16977.153;18621.489;1115.45;63.024;0;0;240;170
19;19;0;0;1;1;4;16977.153;18621.489;1115.77;63.91;0;0;240;170
20;20;0;0;2;0;0;16977.153;18621.489;1114.49;120.091;0;0;240;170
21;21;0;0;2;0;1;16977.153;18621.489;1114.81;120.983;0;0;240;170
22;22;0;0;2;0;2;16977.153;18621.489;1115.13;121.871;0;0;240;170
23;23;0;0;2;0;3;16977.153;18621.489;1115.45;122.78;0;0;240;170
24;24;0;0;2;0;4;16977.153;18621.489;1115.77;123.714;0;0;240;170
25;25;0;0;2;1;0;16977.153;18621.489;1114.49;120.416;0;0;240;170
26;26;0;0;2;1;1;16977.153;18621.489;1114.81;121.307;0;0;240;170
27;27;0;0;2;1;2;16977.153;18621.489;1115.13;122.195;0;0;240;170
28;28;0;0;2;1;3;16977.153;18621.489;1115.45;123.111;0;0;240;170
29;29;0;0;2;1;4;16977.153;18621.489;1115.77;124.039;0;0;240;170
