;Subblock;S;M;T;C;Z;X[micron];Y[micron];Z[micron];Time[s];xstart;ystart;width;height
0;0;0;0;0;0;0;49442.4;35442.4;111.842;0.0;494104;354104;640;640
1;1;0;0;0;1;0;49442.4;35442.4;111.842;0.032;494104;354104;640;640
2;2;0;1;0;0;0;49500.0;35442.4;111.842;0.233;494680;354104;640;640
3;3;0;1;0;1;0;49500.0;35442.4;111.842;0.276;494680;354104;640;640
4;4;0;2;0;0;0;49557.6;35442.4;111.842;0.467;495256;354104;640;640
5;5;0;2;0;1;0;49557.6;35442.4;111.842;0.498;495256;354104;640;640
6;6;0;3;0;0;0;49557.6;35500.0;111.842;0.715;495256;354680;640;640
7;7;0;3;0;1;0;49557.6;35500.0;111.842;0.747;495256;354680;640;640
8;8;0;4;0;0;0;49500.0;35500.0;111.842;0.951;494680;354680;640;640
9;9;0;4;0;1;0;49500.0;35500.0;111.842;0.979;494680;354680;640;640
10;10;0;5;0;0;0;49442.4;35500.0;111.842;1.184;494104;354680;640;640
11;11;0;5;0;1;0;49442.4;35500.0;111.842;1.222;494104;354680;640;640
12;12;0;6;0;0;0;49442.4;35557.6;111.842;1.433;494104;355256;640;640
13;13;0;6;0;1;0;49442.4;35557.6;111.842;1.467;494104;355256;640;640
14;14;0;7;0;0;0;49500.0;35557.6;111.842;1.664;494680;355256;640;640
15;15;0;7;0;1;0;49500.0;35557.6;111.842;1.703;494680;355256;640;640
16;16;0;8;0;0;0;49557.6;35557.6;111.842;1.905;495256;355256;640;640
17;17;0;8;0;1;0;49557.6;35557.6;111.842;1.94;495256;355256;640;640
18;18;1;0;0;0;0;58442.4;35442.4;111.842;2.143;584104;354104;640;640
19;19;1;0;0;1;0;58442.4;35442.4;111.842;2.176;584104;354104;640;640
20;20;1;1;0;0;0;58500.0;35442.4;111.842;2.382;584680;354104;640;640
21;21;1;1;0;1;0;58500.0;35442.4;111.842;2.412;584680;354104;640;640
22;22;1;2;0;0;0;58557.6;35442.4;111.842;2.61;585256;354104;640;640
23;23;1;2;0;1;0;58557.6;35442.4;111.842;2.642;585256;354104;640;640
24;24;1;3;0;0;0;58557.6;35500.0;111.842;2.851;585256;354680;640;640
25;25;1;3;0;1;0;58557.6;35500.0;111.842;2.893;585256;354680;640;640
26;26;1;4;0;0;0;58500.0;35500.0;111.842;3.095;584680;354680;640;640
27;27;1;4;0;1;0;58500.0;35500.0;111.842;3.127;584680;354680;640;640
28;28;1;5;0;0;0;58442.4;35500.0;111.842;3.323;584104;354680;640;640
29;29;1;5;0;1;0;58442.4;35500.0;111.842;3.354;584104;354680;640;640
30;30;1;6;0;0;0;58442.4;35557.6;111.842;3.558;584104;355256;640;640
31;31;1;6;0;1;0;58442.4;35557.6;111.842;3.586;584104;355256;640;640
32;32;1;7;0;0;0;58500.0;35557.6;111.842;3.78;584680;355256;640;640
33;33;1;7;0;1;0;58500.0;35557.6;111.842;3.81;584680;355256;640;640
34;34;1;8;0;0;0;58557.6;35557.6;111.842;4.01;585256;355256;640;640
35;35;1;8;0;1;0;58557.6;35557.6;111.842;4.048;585256;355256;640;640
