;Subblock;S;M;T;C;Z;X[micron];Y[micron];Z[micron];Time[s];xstart;ystart;width;height
0;0;0;0;0;0;0;29687.5;15687.5;111.842;0.0;148118;78118;640;640
1;1;1;0;0;0;0;33312.5;15687.5;111.842;0.235;166242;78118;640;640
2;2;2;0;0;0;0;29687.5;19312.5;111.842;0.465;148118;96242;640;640
3;3;3;0;0;0;0;33312.5;19312.5;111.842;0.693;166242;96242;640;640
4;4;4;0;0;0;0;38687.5;15687.5;111.842;0.924;193118;78118;640;640
5;5;5;0;0;0;0;42312.5;15687.5;111.842;1.15;211242;78118;640;640
6;6;6;0;0;0;0;38687.5;19312.5;111.842;1.384;193118;96242;640;640
7;7;7;0;0;0;0;42312.5;19312.5;111.842;1.619;211242;96242;640;640
8;8;8;0;0;0;0;47687.5;15687.5;111.842;1.858;238118;78118;640;640
9;9;9;0;0;0;0;51312.5;15687.5;111.842;2.098;256242;78118;640;640
10;10;10;0;0;0;0;47687.5;19312.5;111.842;2.332;238118;96242;640;640
11;11;11;0;0;0;0;51312.5;19312.5;111.842;2.564;256242;96242;640;640
12;12;12;0;0;0;0;56687.5;15687.5;111.842;2.795;283118;78118;640;640
13;13;13;0;0;0;0;60312.5;15687.5;111.842;3.025;301242;78118;640;640
14;14;14;0;0;0;0;56687.5;19312.5;111.842;3.266;283118;96242;640;640
15;15;15;0;0;0;0;60312.5;19312.5;111.842;3.496;301242;96242;640;640
16;16;16;0;0;0;0;65687.5;15687.5;111.842;3.743;328118;78118;640;640
17;17;17;0;0;0;0;69312.5;15687.5;111.842;3.973;346242;78118;640;640
18;18;18;0;0;0;0;65687.5;19312.5;111.842;4.212;328118;96242;640;640
19;19;19;0;0;0;0;69312.5;19312.5;111.842;4.443;346242;96242;640;640
20;20;20;0;0;0;0;74687.5;15687.5;111.842;4.682;373118;78118;640;640
21;21;21;0;0;0;0;78312.5;15687.5;111.842;4.91;391242;78118;640;640
22;22;22;0;0;0;0;74687.5;19312.5;111.842;5.149;373118;96242;640;640
23;23;23;0;0;0;0;78312.5;19312.5;111.842;5.385;391242;96242;640;640
24;24;24;0;0;0;0;83687.5;15687.5;111.842;5.62;418118;78118;640;640
25;25;25;0;0;0;0;87312.5;15687.5;111.842;5.85;436242;78118;640;640
26;26;26;0;0;0;0;83687.5;19312.5;111.842;6.084;418118;96242;640;640
27;27;27;0;0;0;0;87312.5;19312.5;111.842;6.308;436242;96242;640;640
